ProductID,ProductName,BundleProducts,RecommendationType,Recommendation,ExpectedLift,ConfidenceScore
frozenset({'智能手表'}),frozenset({'智能手表'}),frozenset({'游戏机'}),Bundle Sale,"建议将""frozenset({'智能手表'})""与""frozenset({'游戏机'})""捆绑销售",5.160952158691055,0.3120827770360481
frozenset({'游戏机'}),frozenset({'游戏机'}),frozenset({'智能手表'}),Bundle Sale,"建议将""frozenset({'游戏机'})""与""frozenset({'智能手表'})""捆绑销售",5.160952158691054,0.309244253348768
frozenset({'枕头'}),frozenset({'枕头'}),frozenset({'餐具'}),Bundle Sale,"建议将""frozenset({'枕头'})""与""frozenset({'餐具'})""捆绑销售",5.14497283262009,0.3057142857142857
frozenset({'餐具'}),frozenset({'餐具'}),frozenset({'枕头'}),Bundle Sale,"建议将""frozenset({'餐具'})""与""frozenset({'枕头'})""捆绑销售",5.144972832620089,0.3061258835408953
frozenset({'水果'}),frozenset({'水果'}),frozenset({'零食'}),Bundle Sale,"建议将""frozenset({'水果'})""与""frozenset({'零食'})""捆绑销售",5.134686342740034,0.3083892617449664
frozenset({'零食'}),frozenset({'零食'}),frozenset({'水果'}),Bundle Sale,"建议将""frozenset({'零食'})""与""frozenset({'水果'})""捆绑销售",5.134686342740034,0.306027306027306
frozenset({'电视'}),frozenset({'电视'}),frozenset({'耳机'}),Bundle Sale,"建议将""frozenset({'电视'})""与""frozenset({'耳机'})""捆绑销售",5.126050420168068,0.305
frozenset({'耳机'}),frozenset({'耳机'}),frozenset({'电视'}),Bundle Sale,"建议将""frozenset({'耳机'})""与""frozenset({'电视'})""捆绑销售",5.126050420168068,0.307563025210084
frozenset({'零食'}),frozenset({'零食'}),frozenset({'面包'}),Bundle Sale,"建议将""frozenset({'零食'})""与""frozenset({'面包'})""捆绑销售",5.124803511900286,0.305028305028305
frozenset({'面包'}),frozenset({'面包'}),frozenset({'零食'}),Bundle Sale,"建议将""frozenset({'面包'})""与""frozenset({'零食'})""捆绑销售",5.124803511900285,0.3077956989247311
frozenset({'牛仔裤'}),frozenset({'牛仔裤'}),frozenset({'内衣'}),Bundle Sale,"建议将""frozenset({'牛仔裤'})""与""frozenset({'内衣'})""捆绑销售",5.113830842084463,0.3019205729166667
