antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'智能手表'}),frozenset({'游戏机'}),0.05992,0.06047,0.0187,0.3120827770360481,5.160952158691055,1.0,0.015076637600000001,1.3657602523047065,0.8576262709693155,0.18389222145737044,0.2678070705949231,0.31066351519240804
frozenset({'游戏机'}),frozenset({'智能手表'}),0.06047,0.05992,0.0187,0.309244253348768,5.160952158691054,1.0,0.015076637600000001,1.3609441608810153,0.8581283246014861,0.18389222145737044,0.26521599581819416,0.31066351519240804
frozenset({'枕头'}),frozenset({'餐具'}),0.0595,0.05942,0.01819,0.30571428571428577,5.14497283262009,1.0,0.01465451,1.3547448559670783,0.8566034173510808,0.18058175320162811,0.26185362830836906,0.30592008462759057
frozenset({'餐具'}),frozenset({'枕头'}),0.05942,0.0595,0.01819,0.3061258835408953,5.144972832620089,1.0,0.01465451,1.3554331797235022,0.8565305598871884,0.18058175320162811,0.26222847798074994,0.30592008462759057
frozenset({'零食'}),frozenset({'水果'}),0.06006,0.0596,0.01838,0.30602730602730605,5.134686342740034,1.0,0.014800424,1.355096545105566,0.8566995096554562,0.18147709320695102,0.26204519994396647,0.30720828388613625
frozenset({'水果'}),frozenset({'零食'}),0.0596,0.06006,0.01838,0.30838926174496645,5.134686342740034,1.0,0.014800424,1.3590592916060165,0.8562804520475855,0.18147709320695102,0.2641969293199209,0.30720828388613625
frozenset({'耳机'}),frozenset({'电视'}),0.0595,0.06,0.0183,0.30756302521008405,5.126050420168068,1.0,0.01473,1.35752427184466,0.8558405452279481,0.1808300395256917,0.26336492043625964,0.306281512605042
frozenset({'电视'}),frozenset({'耳机'}),0.06,0.0595,0.0183,0.305,5.126050420168068,1.0,0.01473,1.3532374100719424,0.8562957795605163,0.1808300395256917,0.26103136629452417,0.306281512605042
frozenset({'零食'}),frozenset({'面包'}),0.06006,0.05952,0.01832,0.305028305028305,5.124803511900286,1.0,0.0147452288,1.3532637470052706,0.8562999422150239,0.18092040292316808,0.2610457479460542,0.3064120019765181
frozenset({'面包'}),frozenset({'零食'}),0.05952,0.06006,0.01832,0.30779569892473113,5.124803511900285,1.0,0.0147452288,1.3578939029126214,0.8558082762903938,0.18092040292316808,0.2635654392032801,0.3064120019765181
frozenset({'内衣'}),frozenset({'牛仔裤'}),0.05904,0.06144,0.01855,0.31419376693766937,5.113830842084463,1.0,0.0149225824,1.368549824648061,0.8549267571433612,0.18198763857549297,0.269299530064854,0.30805716992716803
frozenset({'牛仔裤'}),frozenset({'内衣'}),0.06144,0.05904,0.01855,0.3019205729166667,5.113830842084463,1.0,0.0149225824,1.3479268454185127,0.8571128978452281,0.18198763857549297,0.2581199763185116,0.30805716992716803
frozenset({'枕头'}),frozenset({'花瓶'}),0.0595,0.0599,0.01817,0.3053781512605042,5.098132742245479,1.0,0.01460595,1.3533982579240262,0.8547046808495699,0.17949224538180378,0.26111919078875034,0.3043585247120551
frozenset({'花瓶'}),frozenset({'枕头'}),0.0599,0.0595,0.01817,0.303338898163606,5.098132742245479,1.0,0.01460595,1.3500107836089146,0.8550683462812683,0.17949224538180378,0.259265176144185,0.3043585247120551
frozenset({'床单'}),frozenset({'花瓶'}),0.06073,0.0599,0.01852,0.3049563642351391,5.091091222623358,1.0,0.014882272999999998,1.3525769485903816,0.8555351024982614,0.18137302908627947,0.2606705289172844,0.3070691670925278
